City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
albany,75.0,US,1586624453.0,36.0,42.6,-73.97,48.99,20.8
poquoson,1.0,US,1586624521.0,33.0,37.12,-76.35,60.01,13.87
waingapu,27.0,ID,1586624521.0,78.0,-9.66,120.26,77.63,5.97
ushuaia,40.0,AR,1586624462.0,49.0,-54.8,-68.3,48.2,25.28
ponta do sol,75.0,PT,1586624522.0,68.0,32.67,-17.1,64.4,8.05
gazojak,62.0,TM,1586624522.0,27.0,41.19,61.4,64.9,9.31
busselton,100.0,AU,1586624522.0,51.0,-33.65,115.33,69.01,6.13
punta cardon,38.0,VE,1586624522.0,73.0,11.66,-70.22,83.48,26.02
puerto ayora,75.0,EC,1586624522.0,74.0,-0.74,-90.35,84.99,9.17
hobart,90.0,AU,1586624237.0,62.0,-42.88,147.33,51.8,16.11
yatou,5.0,CN,1586624522.0,59.0,37.15,122.38,44.67,9.26
khani,75.0,GE,1586624522.0,87.0,41.96,42.96,48.2,4.7
barrow,1.0,US,1586624523.0,91.0,71.29,-156.79,-18.4,9.17
saskylakh,87.0,RU,1586624523.0,90.0,71.92,114.08,4.77,17.72
guerrero negro,67.0,MX,1586624523.0,50.0,27.98,-114.06,65.91,12.44
rawson,3.0,AR,1586624523.0,29.0,-43.3,-65.1,63.81,16.6
lethem,85.0,GY,1586624523.0,41.0,3.38,-59.8,91.87,10.63
rikitea,94.0,PF,1586624523.0,74.0,-23.12,-134.97,76.73,3.83
talnakh,75.0,RU,1586624523.0,97.0,69.49,88.4,32.0,40.26
midland,90.0,US,1586624422.0,77.0,32.0,-102.08,75.2,8.05
boksitogorsk,82.0,RU,1586624523.0,93.0,59.47,33.85,30.36,2.1
port blair,67.0,IN,1586624524.0,71.0,11.67,92.75,82.76,6.69
clifton springs,90.0,AU,1586624524.0,100.0,-38.15,144.57,55.99,14.99
florence,0.0,IT,1586624329.0,55.0,43.77,11.25,73.99,10.29
kendari,100.0,ID,1586624524.0,95.0,-3.94,122.5,74.35,1.59
mahebourg,75.0,MU,1586624464.0,88.0,-20.41,57.7,78.01,17.22
qaanaaq,77.0,GL,1586624524.0,78.0,77.48,-69.36,13.87,3.33
vaini,20.0,TO,1586624524.0,100.0,-21.2,-175.2,64.4,3.36
arraial do cabo,75.0,BR,1586624524.0,78.0,-22.97,-42.03,75.2,6.93
hokitika,100.0,NZ,1586624524.0,78.0,-42.72,170.97,55.36,9.22
rosario,0.0,AR,1586624524.0,41.0,-32.95,-60.64,81.0,11.41
luderitz,0.0,NA,1586624525.0,44.0,-26.65,15.16,77.0,10.29
tigil,0.0,RU,1586624525.0,88.0,57.8,158.67,8.87,3.09
vao,13.0,NC,1586624525.0,76.0,-22.67,167.48,75.76,13.82
kaitangata,87.0,NZ,1586624525.0,94.0,-46.28,169.85,50.0,3.0
kruisfontein,100.0,ZA,1586624525.0,55.0,-34.0,24.73,64.45,2.82
mataura,100.0,NZ,1586624525.0,79.0,-46.19,168.86,53.01,4.0
upernavik,100.0,GL,1586624525.0,90.0,72.79,-56.15,21.72,1.41
thompson,90.0,CA,1586624525.0,67.0,55.74,-97.86,21.2,8.05
ilulissat,75.0,GL,1586624526.0,51.0,69.22,-51.1,37.4,10.29
necochea,6.0,AR,1586624526.0,54.0,-38.55,-58.74,79.0,15.01
goundam,67.0,ML,1586624526.0,15.0,16.41,-3.67,99.12,2.1
kapaa,20.0,US,1586624526.0,83.0,22.08,-159.32,71.6,10.29
cape town,75.0,ZA,1586624467.0,88.0,-33.93,18.42,66.99,17.22
tuktoyaktuk,75.0,CA,1586624526.0,83.0,69.45,-133.04,-7.6,6.93
ahipara,43.0,NZ,1586624526.0,80.0,-35.17,173.17,62.2,11.18
deputatskiy,93.0,RU,1586624526.0,92.0,69.3,139.9,22.01,14.65
rio cuarto,23.0,AR,1586624526.0,46.0,-33.13,-64.35,73.4,19.46
santa vitoria do palmar,25.0,BR,1586624481.0,55.0,-33.52,-53.37,70.59,6.26
hilo,1.0,US,1586624428.0,82.0,19.73,-155.09,68.0,4.7
matamoros,40.0,MX,1586624527.0,21.0,25.53,-103.25,81.0,8.05
baykit,78.0,RU,1586624527.0,94.0,61.67,96.37,25.92,3.27
dano,98.0,BF,1586624527.0,20.0,11.15,-3.07,98.38,6.06
sorong,4.0,ID,1586624527.0,89.0,-0.88,131.25,76.64,0.63
waipawa,4.0,NZ,1586624527.0,82.0,-41.41,175.52,59.0,19.46
erenhot,0.0,CN,1586624527.0,33.0,43.65,111.98,42.49,9.22
hermanus,100.0,ZA,1586624528.0,79.0,-34.42,19.23,70.0,5.01
salisbury,40.0,GB,1586624364.0,29.0,51.07,-1.8,75.2,5.82
dingle,2.0,PH,1586624528.0,73.0,11.0,122.67,77.4,5.68
georgetown,20.0,MY,1586624341.0,79.0,5.41,100.34,86.0,2.24
pacific grove,90.0,US,1586624309.0,76.0,36.62,-121.92,55.99,5.82
atuona,97.0,PF,1586624528.0,72.0,-9.8,-139.03,82.27,7.99
platanos,2.0,GR,1586624528.0,67.0,37.67,21.62,64.4,0.83
itarema,100.0,BR,1586624528.0,75.0,-2.92,-39.92,84.45,8.48
taldan,4.0,RU,1586624528.0,78.0,53.67,124.8,33.03,3.31
honiara,75.0,SB,1586624461.0,100.0,-9.43,159.95,75.2,3.85
saint george,1.0,US,1586624346.0,62.0,37.1,-113.58,59.0,4.88
hasaki,75.0,JP,1586624528.0,87.0,35.73,140.83,48.2,5.82
komsomolskiy,90.0,UZ,1586624529.0,76.0,40.43,71.72,55.4,2.24
khatanga,64.0,RU,1586624529.0,92.0,71.97,102.5,0.52,10.36
nanortalik,95.0,GL,1586624529.0,69.0,60.14,-45.24,39.31,27.51
libreville,90.0,GA,1586624452.0,88.0,0.39,9.45,78.8,4.7
lavrentiya,99.0,RU,1586624529.0,98.0,65.58,-171.0,27.84,10.51
new norfolk,90.0,AU,1586624529.0,62.0,-42.78,147.06,51.8,16.11
kodiak,90.0,US,1586624529.0,77.0,57.79,-152.41,39.2,16.11
punta arenas,40.0,CL,1586624400.0,66.0,-53.15,-70.92,48.2,20.8
boende,98.0,CD,1586624529.0,61.0,-0.22,20.87,80.94,1.45
jamestown,40.0,US,1586624530.0,55.0,42.1,-79.24,44.01,9.17
norsup,37.0,VU,1586624530.0,75.0,-16.07,167.38,78.17,8.9
norman wells,75.0,CA,1586624530.0,85.0,65.28,-126.83,23.0,6.93
plon,99.0,DE,1586624530.0,36.0,54.17,10.42,62.01,4.7
manga,99.0,BF,1586624530.0,17.0,11.66,-1.07,97.72,8.57
dharampur,7.0,IN,1586624530.0,28.0,20.53,73.18,84.24,1.39
pointe-noire,20.0,CG,1586624530.0,74.0,-4.78,11.86,86.0,5.82
terekli-mekteb,70.0,RU,1586624531.0,53.0,44.17,45.87,55.87,16.75
novikovo,96.0,RU,1586624531.0,63.0,51.15,37.89,41.54,9.71
amapa,90.0,BR,1586624531.0,89.0,1.0,-52.0,81.28,4.68
sao filipe,10.0,CV,1586624531.0,69.0,14.9,-24.5,77.7,11.54
carnarvon,40.0,AU,1586624531.0,100.0,-24.87,113.63,77.0,18.34
severo-kurilsk,57.0,RU,1586624531.0,94.0,50.68,156.12,26.91,10.94
castro,63.0,BR,1586624418.0,42.0,-24.79,-50.01,71.26,3.18
visnes,100.0,NO,1586624531.0,93.0,59.36,5.22,46.4,14.99
bluff,100.0,NZ,1586624531.0,79.0,-46.6,168.33,53.01,4.0
zonalnaya stantsiya,0.0,RU,1586624531.0,93.0,56.43,85.02,35.01,2.24
clocolan,42.0,ZA,1586624531.0,31.0,-28.91,27.57,59.63,2.64
tiksi,28.0,RU,1586624532.0,94.0,71.69,128.87,17.51,17.43
lebu,0.0,CL,1586624532.0,56.0,-37.62,-73.65,59.7,16.24
butaritari,78.0,KI,1586624532.0,76.0,3.07,172.79,83.77,12.77
klaksvik,100.0,FO,1586624532.0,93.0,62.23,-6.59,46.4,10.29
kirakira,98.0,SB,1586624532.0,80.0,-10.45,161.92,80.55,6.55
las palmas,40.0,ES,1586624533.0,68.0,28.42,-14.01,71.6,16.11
mayumba,100.0,GA,1586624533.0,87.0,-3.43,10.66,78.8,7.0
nishihara,75.0,JP,1586624533.0,93.0,26.18,127.76,68.0,5.82
mount isa,25.0,AU,1586624330.0,18.0,-20.73,139.5,71.6,8.05
constitucion,100.0,CL,1586624504.0,60.0,-35.33,-72.42,62.85,12.77
sola,34.0,VU,1586624466.0,75.0,-13.88,167.55,80.51,12.82
byron bay,3.0,AU,1586624533.0,55.0,-28.65,153.62,69.8,6.93
santa barbara,1.0,US,1586624532.0,72.0,34.42,-119.7,64.0,8.05
bredasdorp,100.0,ZA,1586624534.0,68.0,-34.53,20.04,70.0,1.12
kavaratti,1.0,IN,1586624534.0,68.0,10.57,72.64,85.01,4.03
yucca valley,40.0,US,1586624534.0,38.0,34.11,-116.43,61.0,9.17
chenghai,75.0,CN,1586624534.0,88.0,23.46,116.77,66.2,8.95
matara,6.0,LK,1586624534.0,87.0,5.95,80.54,78.35,5.73
lasa,5.0,IT,1586624534.0,41.0,46.62,10.7,78.8,6.93
tuatapere,89.0,NZ,1586624534.0,79.0,-46.13,167.68,53.01,4.0
college,1.0,US,1586624534.0,92.0,64.86,-147.8,30.0,3.47
kieta,84.0,PG,1586624534.0,79.0,-6.22,155.63,79.7,3.65
kilrush,20.0,IE,1586624534.0,44.0,52.64,-9.48,66.0,11.41
clyde river,75.0,CA,1586624535.0,84.0,70.47,-68.59,8.6,13.87
itoman,75.0,JP,1586624535.0,94.0,26.12,127.67,68.0,12.75
san patricio,40.0,MX,1586624535.0,69.0,19.22,-104.7,82.4,3.87
sibiti,98.0,CG,1586624526.0,84.0,-3.68,13.35,73.45,2.66
chokurdakh,100.0,RU,1586624535.0,97.0,70.63,147.92,27.16,14.36
valparaiso,90.0,CL,1586624535.0,93.0,-33.04,-71.63,59.0,5.82
linqing,0.0,CN,1586624535.0,44.0,36.85,115.71,49.01,9.37
portland,75.0,US,1586624534.0,66.0,45.52,-122.68,52.0,3.36
egvekinot,13.0,RU,1586624535.0,75.0,66.32,-179.17,7.95,3.02
salalah,75.0,OM,1586624535.0,70.0,17.02,54.09,84.2,9.17
saint-francois,10.0,FR,1586624535.0,20.0,46.42,3.91,77.0,4.7
kokopo,75.0,PG,1586624536.0,79.0,-4.35,152.26,79.56,5.82
marsa matruh,0.0,EG,1586624536.0,66.0,31.35,27.25,61.84,8.16
indramayu,36.0,ID,1586624536.0,76.0,-6.33,108.32,81.75,2.21
traverse city,20.0,US,1586624536.0,34.0,44.76,-85.62,53.01,11.41
solnechnyy,58.0,RU,1586624536.0,80.0,50.72,136.63,31.75,3.76
langham,20.0,CA,1586624536.0,62.0,52.37,-106.97,23.0,11.41
lubao,75.0,PH,1586624536.0,88.0,14.92,120.55,84.2,6.93
perevolotskiy,72.0,RU,1586624536.0,71.0,51.88,54.19,44.15,11.1
lagoa,0.0,PT,1586624536.0,70.0,39.05,-27.98,61.81,10.65
avarua,65.0,CK,1586624528.0,100.0,-21.21,-159.78,78.8,1.12
vestmannaeyjar,90.0,IS,1586624537.0,93.0,63.44,-20.27,44.6,4.7
crown point,1.0,US,1586624537.0,37.0,41.42,-87.37,61.0,13.87
mountain home,20.0,US,1586624336.0,41.0,43.13,-115.69,59.0,32.21
longyearbyen,20.0,SJ,1586624408.0,64.0,78.22,15.64,-0.4,6.93
oudtshoorn,97.0,ZA,1586624537.0,82.0,-33.59,22.2,64.4,4.7
padang,100.0,ID,1586624268.0,73.0,-0.95,100.35,79.81,4.23
mar del plata,75.0,AR,1586624349.0,60.0,-38.0,-57.56,72.0,13.87
abu samrah,29.0,SY,1586624538.0,65.0,35.3,37.18,55.35,10.58
kutum,57.0,SD,1586624538.0,12.0,14.2,24.67,77.23,12.21
ginir,54.0,ET,1586624538.0,52.0,7.13,40.7,62.64,2.42
pitimbu,40.0,BR,1586624538.0,59.0,-7.47,-34.81,89.6,9.17
la tuque,100.0,CA,1586624538.0,72.0,47.43,-72.78,36.3,12.15
evensk,99.0,RU,1586624538.0,88.0,61.95,159.23,4.1,4.68
polunochnoye,100.0,RU,1586624538.0,90.0,60.87,60.42,34.86,1.72
yekaterinburg,54.0,RU,1586624494.0,45.0,56.86,60.61,46.4,6.71
east london,100.0,ZA,1586624538.0,74.0,-33.02,27.91,74.05,12.88
gorin,57.0,RU,1586624538.0,88.0,51.2,136.67,31.96,3.42
ohara,75.0,JP,1586624539.0,87.0,35.25,140.38,51.8,5.82
chimbote,90.0,PE,1586624539.0,67.0,-9.09,-78.58,78.58,12.66
dikson,100.0,RU,1586624539.0,92.0,73.51,80.55,13.53,5.86
coihaique,40.0,CL,1586624539.0,49.0,-45.58,-72.07,46.4,17.22
bengkulu,37.0,ID,1586624539.0,79.0,-3.8,102.27,79.27,2.73
kudahuvadhoo,5.0,MV,1586624539.0,63.0,2.67,72.89,85.26,3.44
udachnyy,90.0,RU,1586624539.0,58.0,66.42,112.4,30.2,6.71
chumikan,2.0,RU,1586624539.0,87.0,54.72,135.31,33.94,7.65
bambous virieux,75.0,MU,1586624539.0,88.0,-20.34,57.76,78.01,17.22
geraldton,29.0,AU,1586624539.0,94.0,-28.77,114.6,73.0,6.46
kahului,20.0,US,1586624540.0,83.0,20.89,-156.47,70.0,8.05
harper,87.0,LR,1586624540.0,74.0,4.38,-7.72,83.3,4.88
rayadrug,18.0,IN,1586624540.0,23.0,14.7,76.87,85.48,11.01
dunedin,78.0,NZ,1586624489.0,94.0,-45.87,170.5,52.0,3.0
boa vista,75.0,BR,1586624323.0,44.0,2.82,-60.67,93.2,14.99
codrington,64.0,AU,1586624540.0,73.0,-38.27,141.97,51.37,11.7
hailar,0.0,CN,1586624540.0,37.0,49.2,119.7,43.3,2.93
ugoofaaru,11.0,MV,1586624540.0,68.0,5.67,73.0,85.32,5.48
gorele,40.0,TR,1586624540.0,53.0,41.03,39.0,51.8,7.34
moree,0.0,AU,1586624540.0,71.0,-29.47,149.85,57.2,14.99
san luis,65.0,AR,1586624540.0,31.0,-33.3,-66.34,74.17,10.09
xifeng,3.0,CN,1586624541.0,59.0,42.74,124.72,40.87,9.46
conversion,31.0,PH,1586624541.0,80.0,15.9,121.13,72.68,1.32
vorotynets,100.0,RU,1586624541.0,73.0,56.06,45.86,38.25,8.03
arinos,70.0,BR,1586624541.0,57.0,-15.92,-46.11,85.1,1.21
muros,75.0,ES,1586624541.0,82.0,42.78,-9.06,62.01,5.82
adrar,0.0,MR,1586624541.0,9.0,20.5,-10.07,96.03,6.55
bethel,75.0,US,1586624456.0,36.0,41.37,-73.41,52.0,16.11
naryan-mar,62.0,RU,1586624541.0,95.0,67.67,53.09,14.95,8.99
port alfred,100.0,ZA,1586624542.0,93.0,-33.59,26.89,68.0,8.93
rio claro,16.0,BR,1586624371.0,42.0,-22.41,-47.56,80.6,3.36
akureyri,90.0,IS,1586624542.0,82.0,65.68,-18.09,37.4,16.11
verkhnetulomskiy,40.0,RU,1586624542.0,94.0,68.61,31.8,32.0,6.71
zyryanskoye,4.0,RU,1586624542.0,96.0,56.83,86.63,30.2,4.18
bubaque,0.0,GW,1586624542.0,75.0,11.28,-15.83,79.16,13.35
port elizabeth,100.0,ZA,1586624542.0,52.0,-33.92,25.57,66.2,3.36
shingu,100.0,JP,1586624543.0,52.0,33.73,135.98,49.71,3.96
avera,1.0,US,1586624543.0,24.0,33.19,-82.53,70.0,9.17
hue,30.0,VN,1586624543.0,93.0,16.47,107.6,74.8,1.92
sao joao da barra,75.0,BR,1586624543.0,69.0,-21.64,-41.05,78.8,5.82
sarkand,49.0,KZ,1586624543.0,36.0,45.41,79.92,47.97,3.85
srednekolymsk,1.0,RU,1586624543.0,95.0,67.45,153.68,14.95,9.57
harbour breton,67.0,CA,1586624543.0,91.0,47.48,-55.8,32.88,24.58
san juan,69.0,AR,1586624543.0,28.0,-31.54,-68.54,78.62,8.32
victor harbor,75.0,AU,1586624543.0,71.0,-35.57,138.62,57.0,2.24
palmer,40.0,US,1586624543.0,31.0,42.16,-72.33,51.01,25.28
la ronge,75.0,CA,1586624544.0,66.0,55.1,-105.28,15.8,18.34
mojokerto,59.0,ID,1586624544.0,86.0,-7.47,112.43,75.72,2.71
petropavlovsk-kamchatskiy,75.0,RU,1586624544.0,74.0,53.05,158.65,30.2,4.47
victoria,40.0,HK,1586624318.0,88.0,22.29,114.16,69.8,8.05
saldanha,85.0,ZA,1586624544.0,77.0,-33.01,17.94,68.0,5.82
sisimiut,100.0,GL,1586624544.0,81.0,66.94,-53.67,35.8,5.3
chiredzi,5.0,ZW,1586624544.0,49.0,-21.05,31.67,72.3,4.54
caravelas,45.0,BR,1586624544.0,78.0,-17.71,-39.25,81.86,12.33
kukmor,100.0,RU,1586624544.0,69.0,56.19,50.89,40.91,3.85
sitka,1.0,US,1586624545.0,69.0,57.05,-135.33,35.6,0.83
ciudad bolivar,100.0,VE,1586624545.0,21.0,8.12,-63.55,100.72,9.28
omsukchan,100.0,RU,1586624545.0,85.0,62.53,155.8,3.24,3.36
tasiilaq,40.0,GL,1586624545.0,90.0,65.61,-37.64,32.0,23.04
korla,17.0,CN,1586624545.0,21.0,41.76,86.15,58.8,3.67
richards bay,5.0,ZA,1586624545.0,79.0,-28.78,32.04,74.1,15.84
new glasgow,93.0,CA,1586624511.0,72.0,45.58,-62.65,44.01,11.99
ribeira grande,20.0,PT,1586624545.0,77.0,38.52,-28.7,64.4,4.7
strzelce opolskie,96.0,PL,1586624545.0,26.0,50.51,18.3,60.01,5.82
piltene,38.0,LV,1586624546.0,93.0,57.22,21.67,42.8,8.05
lompoc,75.0,US,1586624356.0,77.0,34.64,-120.46,64.0,9.17
mayor pablo lagerenza,0.0,PY,1586624546.0,19.0,-19.93,-60.77,93.2,2.48
sennoy,100.0,RU,1586624546.0,52.0,52.15,46.96,47.14,10.51
torbat-e jam,97.0,IR,1586624546.0,56.0,35.24,60.62,63.36,13.38
havoysund,100.0,NO,1586624546.0,86.0,71.0,24.66,28.4,2.24
bridlington,52.0,GB,1586624546.0,52.0,54.08,-0.19,71.6,11.41
andros,0.0,GR,1586624546.0,55.0,37.83,24.93,69.01,5.82
tiznit,100.0,MA,1586624546.0,60.0,29.58,-9.5,62.62,7.76
alyangula,60.0,AU,1586624546.0,94.0,-13.85,136.42,77.0,1.12
bihoro,57.0,JP,1586624547.0,94.0,43.82,144.1,23.7,3.27
bowen,79.0,AU,1586624547.0,94.0,-20.02,148.23,71.01,3.36
makakilo city,90.0,US,1586624547.0,88.0,21.35,-158.09,73.4,3.36
suez,0.0,EG,1586624547.0,41.0,29.97,32.53,68.83,7.72
mandalgovi,0.0,MN,1586624547.0,31.0,45.76,106.27,38.61,10.4
whitley bay,17.0,GB,1586624547.0,48.0,55.04,-1.45,68.0,17.22
bandarbeyla,2.0,SO,1586624548.0,72.0,9.49,50.81,81.63,12.88
bayir,0.0,TR,1586624548.0,45.0,37.27,28.22,68.0,1.92
yongchang,65.0,CN,1586624548.0,82.0,30.04,119.73,48.0,4.12
troitskoye,0.0,RU,1586624548.0,84.0,52.98,84.68,32.9,5.59
trofors,100.0,NO,1586624498.0,55.0,65.53,13.41,39.2,11.41
grushevskaya,20.0,RU,1586624548.0,39.0,47.44,39.95,51.01,6.71
lata,40.0,PT,1586624548.0,67.0,40.16,-8.33,63.0,9.17
george,100.0,ZA,1586624548.0,82.0,-33.96,22.46,64.4,4.7
tura,17.0,IN,1586624548.0,37.0,25.52,90.22,74.68,3.18
loa janan,100.0,ID,1586624548.0,95.0,-0.58,117.09,73.83,1.41
vila franca do campo,20.0,PT,1586624549.0,67.0,37.72,-25.43,62.6,20.8
port hardy,40.0,CA,1586624549.0,81.0,50.7,-127.42,46.4,6.93
waddan,13.0,LY,1586624549.0,23.0,29.16,16.14,69.33,15.21
qaqortoq,75.0,GL,1586624549.0,23.0,60.72,-46.03,51.8,20.8
pevek,98.0,RU,1586624549.0,93.0,69.7,170.31,5.49,14.0
gamba,100.0,GA,1586624549.0,86.0,-2.65,10.0,77.94,3.62
nouadhibou,0.0,MR,1586624549.0,57.0,20.93,-17.03,75.2,20.8
provideniya,99.0,RU,1586624549.0,97.0,64.38,-173.3,27.14,3.29
khasan,98.0,RU,1586624549.0,82.0,42.43,130.64,36.01,2.01
plaridel,40.0,PH,1586624549.0,70.0,14.89,120.86,84.2,3.36
scarborough,39.0,GB,1586624549.0,52.0,54.28,-0.4,70.0,11.41
atasu,93.0,KZ,1586624550.0,51.0,48.68,71.64,42.55,10.47
maldonado,40.0,UY,1586624550.0,73.0,-34.67,-54.92,69.8,10.29
san cristobal,40.0,VE,1586624550.0,46.0,7.77,-72.22,91.4,16.11
airai,49.0,TL,1586624550.0,72.0,-8.93,125.41,60.96,1.48
lorengau,55.0,PG,1586624550.0,75.0,-2.02,147.27,81.72,2.77
makat,0.0,KZ,1586624550.0,45.0,47.65,53.35,51.49,5.48
hithadhoo,49.0,MV,1586624550.0,65.0,-0.6,73.08,85.06,6.69
gualeguaychu,0.0,AR,1586624550.0,47.0,-33.01,-58.52,77.0,1.99
bosaso,10.0,SO,1586624551.0,66.0,11.28,49.18,83.8,4.18
manturovo,100.0,RU,1586624551.0,93.0,58.34,44.76,30.83,5.55
selizharovo,16.0,RU,1586624551.0,82.0,56.85,33.45,32.45,5.97
roquetas de mar,74.0,ES,1586624551.0,30.0,36.76,-2.61,69.8,20.8
torbay,75.0,CA,1586624551.0,52.0,47.67,-52.73,46.4,25.28
bajil,62.0,YE,1586624551.0,65.0,15.06,43.29,82.71,4.97
da nang,75.0,VN,1586624537.0,83.0,16.07,108.22,80.6,1.12
braganca,79.0,BR,1586624551.0,88.0,-1.05,-46.77,82.13,5.86
bilibino,97.0,RU,1586624551.0,89.0,68.05,166.44,4.17,1.34
nome,40.0,US,1586624422.0,92.0,64.5,-165.41,21.2,10.29
jalu,49.0,LY,1586624342.0,26.0,29.03,21.55,67.12,8.81
fairbanks,1.0,US,1586624552.0,92.0,64.84,-147.72,30.0,3.69
balabac,2.0,PH,1586624552.0,81.0,7.99,117.06,80.76,6.64
puerto carreno,40.0,CO,1586624552.0,49.0,6.19,-67.49,89.6,6.93
vardo,98.0,NO,1586624552.0,89.0,70.37,31.11,28.76,10.45
cayenne,20.0,GF,1586624404.0,62.0,4.93,-52.33,86.0,13.87
